model_idx,code,feature_vectors
1,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.conv1 = nn.Conv1d(in_channels=1, out_channels=16, kernel_size=3, stride=1, padding=1)\n        self.conv2 = nn.Conv1d(in_channels=16, out_channels=32, kernel_size=3, stride=1, padding=1)\n        self.pool = nn.MaxPool1d(kernel_size=2, stride=2)\n        self.fc1 = nn.Linear(32 * (input_size // 2), 128)  # Adjust for the reduced dimension after pooling\n        self.fc2 = nn.Linear(128, 64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout = nn.Dropout(0.5)  # Add regularization with dropout\n\n    def forward(self, x):\n        x = x.unsqueeze(1)\n        x = self.conv1(x)\n        x = self.relu(x)\n        x = self.conv2(x)\n        x = self.relu(x)\n        x = self.pool(x)\n        x = x.view(x.size(0), -1)\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.dropout(x)  # Apply dropout\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n""",
2,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 64)\n        self.fc2 = nn.Linear(64, 32)\n        self.fc3 = nn.Linear(32, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n""",
3,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.fc2 = nn.Linear(128, 64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n""",
4,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)  # Wide first layer\n        self.fc2 = nn.Linear(512, 256)\n        self.fc3 = nn.Linear(256, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n\n""",
5,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 64)\n        self.fc2 = nn.Linear(64, 32)\n        self.fc3 = nn.Linear(32, 16)\n        self.fc4 = nn.Linear(16, num_classes)\n        self.tanh = nn.Tanh()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.tanh(x)\n        x = self.fc2(x)\n        x = self.tanh(x)\n        x = self.fc3(x)\n        x = self.tanh(x)\n        x = self.fc4(x)\n        return x\n\n""",
6,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)\n        self.bn1 = nn.BatchNorm1d(512)\n        self.fc2 = nn.Linear(512, 256)\n        self.bn2 = nn.BatchNorm1d(256)\n        self.fc3 = nn.Linear(256, 128)\n        self.bn3 = nn.BatchNorm1d(128)\n        self.fc4 = nn.Linear(128, 64)\n        self.fc5 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout = nn.Dropout(p=0.4)\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.bn1(x)\n        x = self.relu(x)\n        x = self.dropout(x)\n        \n        x = self.fc2(x)\n        x = self.bn2(x)\n        x = self.relu(x)\n        x = self.dropout(x)\n        \n        x = self.fc3(x)\n        x = self.bn3(x)\n        x = self.relu(x)\n        \n        x = self.fc4(x)\n        x = self.fc5(x)\n        return x\n\n""",
7,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 32)  \n        self.fc2 = nn.Linear(32, num_classes) \n        self.relu = nn.ReLU()                \n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)  # Apply ReLU after the first layer\n        x = self.fc2(x)             \n        return x\n\n""",
8,"""\nclass ResidualBlock(nn.Module):\n    def __init__(self, input_size):\n        super(ResidualBlock, self).__init__()\n        self.fc1 = nn.Linear(input_size, input_size)\n        self.relu = nn.ReLU()\n        self.fc2 = nn.Linear(input_size, input_size)\n\n    def forward(self, x):\n        residual = x\n        x = self.relu(self.fc1(x))\n        x = self.fc2(x)\n        x += residual  # Skip connection\n        return x\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.res1 = ResidualBlock(256)\n        self.res2 = ResidualBlock(256)\n        self.fc2 = nn.Linear(256, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.res1(x)\n        x = self.res2(x)\n        x = self.fc2(x)\n        return x\n""",
9,"""\n\nimport torch.nn.functional as F\n\nclass BottleneckResidualBlock(nn.Module):\n    def __init__(self, in_features, bottleneck_features=16):\n        super(BottleneckResidualBlock, self).__init__()\n        self.fc1 = nn.Linear(in_features, bottleneck_features) \n        self.fc2 = nn.Linear(bottleneck_features, bottleneck_features) \n        self.fc3 = nn.Linear(bottleneck_features, in_features) \n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        residual = x\n        x = self.relu(self.fc1(x))\n        x = self.relu(self.fc2(x))\n        x = self.fc3(x)\n        x += residual  # Skip connection\n        return F.relu(x)  # Apply activation to the output\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.res1 = BottleneckResidualBlock(256, 64)\n        self.res2 = BottleneckResidualBlock(256, 64)\n        self.fc2 = nn.Linear(256, num_classes)\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = F.relu(x)\n        x = self.res1(x)\n        x = self.res2(x)\n        x = self.fc2(x)\n        return x\n\n""",
10,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        \n        # Fixed parameters\n        self.hidden_size = 64  # Number of hidden neurons\n        self.num_layers = 2    # Number of RNN layers\n        \n        # RNN layer\n        self.rnn = nn.RNN(input_size, self.hidden_size, self.num_layers, batch_first=True)\n        \n        # Fully connected output layer\n        self.fc = nn.Linear(self.hidden_size, num_classes)\n\n    def forward(self, x):\n        # Reshape input to add a sequence length of 1\n        x = x.unsqueeze(1)  # Shape: (batch_size, seq_length=1, input_size)\n        \n        # Initialize hidden state (h0) with zeros\n        h0 = torch.zeros(self.num_layers, x.size(0), self.hidden_size).to(x.device)\n\n        # Forward propagate RNN\n        out, _ = self.rnn(x, h0)  # out: tensor of shape (batch_size, seq_length, hidden_size)\n\n        # Take the output from the last time step\n        out = out[:, -1, :]  # Get last time step's output\n\n        # Pass through the fully connected layer\n        out = self.fc(out)\n        return out\n\n""",
11,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)\n        self.bn1 = nn.BatchNorm1d(512)\n        self.fc2 = nn.Linear(512, 256)\n        self.bn2 = nn.BatchNorm1d(256)\n        self.fc3 = nn.Linear(256, 128)\n        self.bn3 = nn.BatchNorm1d(128)\n        self.fc4 = nn.Linear(128, 64)\n        self.fc5 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout = nn.Dropout(p=0.4)\n\n    def forward(self, x):\n        x = self.relu(self.bn1(self.fc1(x)))\n        x = self.dropout(x)\n        x = self.relu(self.bn2(self.fc2(x)))\n        x = self.dropout(x)\n        x = self.relu(self.bn3(self.fc3(x)))\n        x = self.fc4(x)\n        x = self.fc5(x)\n        return x\n\n""",
12,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.fc2 = nn.Linear(128, 64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.leaky_relu = nn.LeakyReLU(negative_slope=0.05)\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.leaky_relu(x)\n        \n        x = self.fc2(x)\n        x = self.leaky_relu(x)\n        \n        x = self.fc3(x)\n        return x\n\n""",
13,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, num_classes)\n        self.tanh = nn.Tanh()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.tanh(x)\n        \n        x = self.fc2(x)\n        x = self.tanh(x)\n        \n        x = self.fc3(x)\n        return x\n\n""",
14,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 1024)\n        self.fc2 = nn.Linear(1024, 512)\n        self.fc3 = nn.Linear(512, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        \n        x = self.fc3(x)\n        return x\n\n""",
15,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, 64)\n        self.fc4 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout = nn.Dropout(p=0.2)\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.dropout(x)\n        \n        x = self.fc3(x)\n        x = self.fc4(x)\n        return x\n\n""",
16,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.fc2 = nn.Linear(input_size, 128)\n        self.fc3 = nn.Linear(128, num_classes)\n\n    def forward(self, x):\n        x1 = self.fc1(x)\n        x2 = self.fc2(x)\n        x = torch.max(x1, x2)\n        x = self.fc3(x)\n        return x\n\n""",
17,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, input_size)\n        self.fc2 = nn.Linear(input_size, 128)\n        self.fc3 = nn.Linear(128, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        residual = x\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = x +  residual\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        \n        x = self.fc3(x)\n        return x\n\n""",
18,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.fc2 = nn.Linear(128, 64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.tanh = nn.Tanh()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        \n        x = self.fc2(x)\n        x = self.tanh(x)\n        \n        x = self.fc3(x)\n        return x\n""",
19,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, 64)\n        self.fc4 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n        self.dropout1 = nn.Dropout(p=0.3)\n        self.dropout2 = nn.Dropout(p=0.5)\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.dropout1(x)\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        \n        x = self.fc3(x)\n        x = self.dropout2(x)\n        \n        x = self.fc4(x)\n        return x\n\n""",
20,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)\n        self.fc2 = nn.Linear(512, 256)\n        self.fc3 = nn.Linear(256, 128)\n        self.fc4 = nn.Linear(128, 64)\n        self.fc5 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        \n        x = self.fc2(x)\n        x = self.relu(x)\n        \n        x = self.fc3(x)\n        x = self.relu(x)\n        \n        x = self.fc4(x)\n        x = self.fc5(x)\n        return x\n\n""",
21,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc = nn.Sequential(\n            nn.Linear(input_size, 256),\n            nn.ReLU(inplace=True),\n            nn.Linear(256, num_classes),\n        )\n\n        self.tanh = nn.Tanh()\n\n    def forward(self, x):\n        x = self.fc(x)\n        return x\n\n""",
22,"""\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 32)\n        self.fc2 = nn.Linear(32, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        return x\n\n""",
23,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.conv1 = nn.Conv1d(1, 16, kernel_size=3, stride=1, padding=1)\n        self.pool = nn.MaxPool1d(kernel_size=2, stride=2)\n        self.relu = nn.ReLU()\n        \n        dummy_input = torch.zeros(1, 1, input_size)  # Batch size 1, channel 1, input length\n        with torch.no_grad():\n            dummy_output = self.pool(self.relu(self.conv1(dummy_input)))\n            flattened_size = dummy_output.numel()  # Total number of elements in the flattened output\n        \n        self.fc1 = nn.Linear(flattened_size, 64)\n        self.fc2 = nn.Linear(64, num_classes)\n\n    def forward(self, x):\n        x = x.unsqueeze(1)  # Add channel dimension\n        x = self.conv1(x)\n        x = self.relu(x)\n        x = self.pool(x)\n        x = x.view(x.size(0), -1)  # Flatten\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        return x\n\n""",
24,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.conv1 = nn.Conv1d(1, 16, kernel_size=3, stride=1, padding=1)\n        self.conv2 = nn.Conv1d(16, 32, kernel_size=3, stride=1, padding=1)\n        self.pool = nn.MaxPool1d(kernel_size=2, stride=2)\n        self.relu = nn.ReLU()\n        \n        # Dynamically calculate the flattened size after conv and pool\n        dummy_input = torch.zeros(1, 1, input_size)  # Batch size 1, channel 1, input length\n        with torch.no_grad():\n            dummy_output = self.pool(self.relu(self.conv2(self.relu(self.conv1(dummy_input)))))\n            flattened_size = dummy_output.numel()  # Total number of elements in the flattened output\n        \n        self.fc1 = nn.Linear(flattened_size, 64)  # Use the calculated size\n        self.fc2 = nn.Linear(64, num_classes)\n\n    def forward(self, x):\n        x = x.unsqueeze(1)  # Add channel dimension\n        x = self.conv1(x)\n        x = self.relu(x)\n        x = self.conv2(x)\n        x = self.relu(x)\n        x = self.pool(x)\n        x = x.view(x.size(0), -1)  # Flatten\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        return x\n\n\n""",
25,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.bn1 = nn.BatchNorm1d(128)\n        self.fc2 = nn.Linear(128, 64)\n        self.bn2 = nn.BatchNorm1d(64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.bn1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.bn2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n\n""",
26,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 16)\n        self.bn1 = nn.BatchNorm1d(16)\n        self.fc2 = nn.Linear(16, 64)\n        self.bn2 = nn.BatchNorm1d(64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.bn1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.bn2(x)\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n\n""",
27,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 128)\n        self.fc2 = nn.Linear(128, 64)\n        self.shortcut = nn.Linear(input_size, 64)\n        self.fc3 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        residual = self.shortcut(x)  # Skip connection\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x) + residual  # Add skip connection\n        x = self.relu(x)\n        x = self.fc3(x)\n        return x\n\n""",
28,"""\nimport torch\nimport torch.nn as nn\n\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 512)\n        self.bn1 = nn.BatchNorm1d(512)\n        self.fc2 = nn.Linear(512, 256)\n        self.bn2 = nn.BatchNorm1d(256)\n        self.fc3 = nn.Linear(256, num_classes)\n        self.dropout = nn.Dropout(0.5)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.bn1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.bn2(x)\n        x = self.relu(x)\n        x = self.dropout(x)\n        x = self.fc3(x)\n        return x\n\n""",
29,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 256)\n        self.fc2 = nn.Linear(256, 128)\n        self.fc3 = nn.Linear(128, 64)\n        self.shortcut = nn.Linear(input_size, 64)  # Residual connection\n        self.fc4 = nn.Linear(64, num_classes)\n        self.relu = nn.ReLU()\n\n    def forward(self, x):\n        residual = self.shortcut(x)\n        x = self.fc1(x)\n        x = self.relu(x)\n        x = self.fc2(x)\n        x = self.relu(x)\n        x = self.fc3(x) + residual\n        x = self.relu(x)\n        x = self.fc4(x)\n        return x\n\n""",
30,"""\nclass Model(nn.Module):\n    def __init__(self, input_size, num_classes):\n        super(Model, self).__init__()\n        self.fc1 = nn.Linear(input_size, 8)  \n        self.fc2 = nn.Linear(8, num_classes) \n        self.relu = nn.ReLU()                \n\n    def forward(self, x):\n        x = self.fc1(x)\n        x = self.relu(x)  # Apply ReLU after the first layer\n        x = self.fc2(x)             \n        return x\n\n""",
